Country,"Mortality Rates from Communicable Diseases, 2000"
Afghanistan,59.81
Angola,72.84
Albania,8.11
"United Arab Emirates",10.32
Argentina,12.28
Armenia,5.18
"Antigua and Barbuda",13.51
Australia,4.37
Austria,2.67
Azerbaijan,18.76
Burundi,62.78
Belgium,7.51
Benin,63.58
"Burkina Faso",73.13
Bangladesh,50.25
Bulgaria,3.21
Bahrain,6.12
"Bahamas, The",29.16
"Bosnia and Herzegovina",3.16
Belarus,2.36
Belize,20.12
Bolivia,38.27
Brazil,18.01
Barbados,15.94
"Brunei Darussalam",9.53
Bhutan,40.67
Botswana,65.79
"Central African Republic",67.16
Canada,4.55
Switzerland,5.38
Chile,10.85
China,9.45
"Cote d'Ivoire",69.48
Cameroon,65.89
"Congo, Dem. Rep.",70.07
"Congo, Rep.",61.39
Colombia,14.16
Comoros,55.62
"Cabo Verde",33.47
"Costa Rica",8.94
Cuba,8.83
Cyprus,4.11
Czechia,3.06
Germany,4.01
Djibouti,60.28
Denmark,3.75
"Dominican Republic",34.9
Algeria,19.39
Ecuador,23.14
"Egypt, Arab Rep.",20.87
Eritrea,51.3
Spain,4.92
Estonia,3.03
Ethiopia,66.67
Finland,6.91
Fiji,12.46
France,6.6
"Micronesia, Fed. Sts.",24.15
Gabon,51.11
"United Kingdom",11.66
Georgia,4.57
Ghana,64.1
Guinea,71.42
"Gambia, The",64.2
Guinea-Bissau,68.43
"Equatorial Guinea",63.91
Greece,3.92
Grenada,14.42
Guatemala,44.6
Guyana,27.06
Honduras,29.73
Croatia,3.32
Haiti,44.07
Hungary,1.82
Indonesia,32.87
India,46.71
Ireland,9.61
"Iran, Islamic Rep.",14.6
Iraq,25.48
Iceland,5.83
Israel,6.97
Italy,3.35
Jamaica,16.19
Jordan,18.43
Japan,12.25
Kazakhstan,9.37
Kenya,73.03
"Kyrgyz Republic",17.02
Cambodia,52.75
Kiribati,29.4
"Korea, Rep.",6.73
Kuwait,8.5
"Lao PDR",52.88
Lebanon,10.69
Liberia,73.37
Libya,16.57
"St. Lucia",9.84
"Sri Lanka",11.18
Lesotho,63.62
Lithuania,2.8
Luxembourg,4.45
Latvia,3.01
Morocco,21.32
Moldova,5.36
Madagascar,60.76
Maldives,21.42
Mexico,17.9
"North Macedonia",3.09
Mali,70.87
Malta,8.04
Myanmar,43.78
Montenegro,2.98
Mongolia,16.36
Mozambique,69.04
Mauritania,65.16
Mauritius,7.94
Malawi,73.83
Malaysia,15.4
Namibia,60.21
Niger,77.37
Nigeria,73.62
Nicaragua,23.99
Netherlands,7.14
Norway,7.42
Nepal,57.94
"New Zealand",2.74
Oman,13.21
Pakistan,48.21
Panama,18.78
Peru,33.04
Philippines,35.77
"Papua New Guinea",49.87
Poland,3.95
"Korea, Dem. People's Rep.",45.71
Portugal,8.47
Paraguay,26.08
Qatar,6.51
Romania,4.66
"Russian Federation",4.28
Rwanda,62.72
"Saudi Arabia",15.17
Sudan,53.95
Senegal,63.8
Singapore,13.67
"Solomon Islands",41.4
"Sierra Leone",74.63
"El Salvador",21.63
Somalia,70.95
Serbia,2.68
"South Sudan",74.61
"Sao Tome and Principe",57.35
Suriname,20.47
"Slovak Republic",4.16
Slovenia,5.37
Sweden,5.46
Eswatini,62.61
Seychelles,12.31
"Syrian Arab Republic",14.89
Chad,73.49
Togo,63.57
Thailand,23.93
Tajikistan,38.49
Turkmenistan,22.52
Timor-Leste,62.26
Tonga,14.4
"Trinidad and Tobago",12.81
Tunisia,11.15
Turkiye,13.37
Tanzania,72.22
Uganda,74.73
Ukraine,3.46
Uruguay,7.3
"United States",6.28
Uzbekistan,20.34
"St. Vincent and the Grenadines",17.19
"Venezuela, RB",16.02
"Viet Nam",18.13
Vanuatu,23.29
Samoa,14.13
"Yemen, Rep.",49.97
"South Africa",47.88
Zambia,74.26
Zimbabwe,78.64
