Country,"Communicable Diseases Mortality Rates Change 2000-2019"
Afghanistan,-44.95
Angola,-18.78
Albania,-62.72
"United Arab Emirates",-31.25
Argentina,43.28
Armenia,29.28
"Antigua and Barbuda",-27.22
Australia,13.07
Austria,33.65
Azerbaijan,-68.08
Burundi,-18.48
Belgium,5.22
Benin,-18.47
"Burkina Faso",-26.01
Bangladesh,-55
Bulgaria,-31.12
Bahrain,-18.1
"Bahamas, The",-63.27
"Bosnia and Herzegovina",-42.79
Belarus,-31.83
Belize,-20.8
Bolivia,-51.34
Brazil,-23.88
Barbados,-19.08
"Brunei Darussalam",8.47
Bhutan,-55.22
Botswana,-31.75
"Central African Republic",-12.06
Canada,4.9
Switzerland,-11.78
Chile,-34.46
China,-62.44
"Cote d'Ivoire",-21.84
Cameroon,-21.36
"Congo, Dem. Rep.",-19.82
"Congo, Rep.",-15.35
Colombia,-26.99
Comoros,-20.77
"Cabo Verde",-52.71
"Costa Rica",-20.28
Cuba,4.36
Cyprus,16.6
Czechia,90.55
Germany,18.6
Djibouti,-37.94
Denmark,81.88
"Dominican Republic",-63.97
Algeria,-33.02
Ecuador,-46.68
"Egypt, Arab Rep.",-53.86
Eritrea,-24.67
Spain,13.94
Estonia,18.28
Ethiopia,-33.02
Finland,-79.39
Fiji,-24.94
France,-3.48
"Micronesia, Fed. Sts.",-47.38
Gabon,-9.46
"United Kingdom",-30.04
Georgia,-39.77
Ghana,-29.42
Guinea,-18.85
"Gambia, The",-18.74
Guinea-Bissau,-15.8
"Equatorial Guinea",-6.88
Greece,228.15
Grenada,-21.38
Guatemala,-49.97
Guyana,-35.65
Honduras,-64.06
Croatia,2.23
Haiti,-44.05
Hungary,8.76
Indonesia,-42.42
India,-48.26
Ireland,-40.83
"Iran, Islamic Rep.",-44.59
Iraq,-39.98
Iceland,-14.8
Israel,48.14
Italy,64.2
Jamaica,-44.58
Jordan,-45.67
Japan,-15.94
Kazakhstan,-45.29
Kenya,-33.88
"Kyrgyz Republic",-38.65
Cambodia,-56.33
Kiribati,-26.48
"Korea, Rep.",90.74
Kuwait,-16.66
"Lao PDR",-51.51
Lebanon,-48.03
Liberia,-20.36
Libya,-37.26
"St. Lucia",-19.31
"Sri Lanka",-15.29
Lesotho,-33.68
Lithuania,21.84
Luxembourg,20.28
Latvia,1.1
Morocco,-58.22
Moldova,-16.63
Madagascar,-25.18
Maldives,-61.91
Mexico,-49.2
"North Macedonia",-58.51
Mali,-14.98
Malta,-12.96
Myanmar,-50.67
Montenegro,-52.62
Mongolia,-61.44
Mozambique,-21.15
Mauritania,-19.1
Mauritius,-8.51
Malawi,-32.75
Malaysia,17.81
Namibia,-25.01
Niger,-23.52
Nigeria,-11.43
Nicaragua,-60.6
Netherlands,-15.95
Norway,3.51
Nepal,-57.16
"New Zealand",59.09
Oman,-26.1
Pakistan,-31.24
Panama,-28.8
Peru,-46.92
Philippines,-32.11
"Papua New Guinea",-39.3
Poland,48.32
"Korea, Dem. People's Rep.",-72.01
Portugal,0.59
Paraguay,-46.49
Qatar,-23.95
Romania,14.26
"Russian Federation",-8.76
Rwanda,-39.13
"Saudi Arabia",-52.99
Sudan,-34.11
Senegal,-31.42
Singapore,51.45
"Solomon Islands",-43.48
"Sierra Leone",-24.05
"El Salvador",-26.97
Somalia,-14
Serbia,1.17
"South Sudan",-17.83
"Sao Tome and Principe",-46.02
Suriname,-42.29
"Slovak Republic",22.77
Slovenia,-50.58
Sweden,8.41
Eswatini,-32.79
Seychelles,9.57
"Syrian Arab Republic",-28.44
Chad,-13.66
Togo,-23.61
Thailand,-41.91
Tajikistan,-49.35
Turkmenistan,-2.53
Timor-Leste,-35.67
Tonga,-23.04
"Trinidad and Tobago",-45.52
Tunisia,-35.9
Turkiye,-61.37
Tanzania,-24.77
Uganda,-30.87
Ukraine,-9.36
Uruguay,-2.06
"United States",-15.61
Uzbekistan,-59.64
"St. Vincent and the Grenadines",-23.73
"Venezuela, RB",-2.89
"Viet Nam",-48.67
Vanuatu,-27.61
Samoa,-26.62
"Yemen, Rep.",-39.68
"South Africa",-25.48
Zambia,-23.9
Zimbabwe,-39.41
