Country,"Life Expectancy Change 2000-2019"
Afghanistan,14.95
Angola,35.69
Albania,5.14
"United Arab Emirates",7.19
Armenia,6.82
"Antigua and Barbuda",5.48
Australia,4.63
Austria,4.82
Azerbaijan,12.65
Burundi,31.23
Belgium,5.5
Benin,6.85
"Burkina Faso",18.08
Bangladesh,10.68
Bulgaria,4.81
Bahrain,5.99
"Bahamas, The",-1.16
"Bosnia and Herzegovina",3.68
Belarus,7.71
Belize,7.83
Bolivia,8.81
Brazil,8.03
Barbados,4.28
"Brunei Darussalam",0.9
Bhutan,15.13
Botswana,28.33
"Central African Republic",21.18
Canada,3.87
Switzerland,5.3
Chile,4.5
China,8.47
"Cote d'Ivoire",16.67
Cameroon,16.35
"Congo, Dem. Rep.",16.41
"Congo, Rep.",16.89
Colombia,7.62
Comoros,9.04
"Cabo Verde",10.76
"Costa Rica",2.37
Cuba,1.87
Cyprus,6.31
Czechia,5.68
Germany,4.32
Djibouti,11.51
Dominica,1.19
Denmark,6.34
"Dominican Republic",5.98
Algeria,8.51
Ecuador,6.12
"Egypt, Arab Rep.",4.93
Eritrea,19.94
Spain,6.16
Estonia,11.69
Ethiopia,30.27
Finland,5.83
Fiji,2.39
France,4.77
"Micronesia, Fed. Sts.",1.87
Gabon,9.06
"United Kingdom",4.71
Georgia,5.6
Ghana,11.25
Guinea,13.8
"Gambia, The",11.96
Guinea-Bissau,21.47
"Equatorial Guinea",15.82
Greece,4.82
Grenada,2.86
Guatemala,8.43
Guyana,7.2
Honduras,6.14
Croatia,7.71
Haiti,10.09
Hungary,7.12
Indonesia,6.15
India,13.15
Ireland,8.06
"Iran, Islamic Rep.",9.2
Iraq,7.12
Iceland,4.41
Israel,4.88
Italy,4.66
Jamaica,1.16
Jordan,5.74
Japan,4.05
Kazakhstan,11.81
Kenya,15.68
"Kyrgyz Republic",4.44
Cambodia,20.58
Kiribati,4.26
"St. Kitts and Nevis",2.57
"Korea, Rep.",9.64
Kuwait,3.86
"Lao PDR",16.72
Lebanon,7.18
Liberia,18.98
Libya,2.52
"St. Lucia",3.78
Liechtenstein,9.55
"Sri Lanka",8.03
Lesotho,11.87
Lithuania,5.92
Luxembourg,6.12
Latvia,7.21
Morocco,11.2
Moldova,6.8
Madagascar,13.71
Maldives,13.04
Mexico,0.86
"Marshall Islands",2.32
"North Macedonia",5.01
Mali,18.06
Malta,5.76
Myanmar,10.73
Montenegro,3.88
Mongolia,14.22
Mozambique,23.59
Mauritania,7.63
Mauritius,3.59
Malawi,44.03
Malaysia,4.1
Namibia,21.32
Niger,27.52
Nigeria,12.11
Nicaragua,10.14
Netherlands,5.29
Norway,5.5
Nepal,11.09
Nauru,8.09
"New Zealand",4.35
Oman,6.17
Pakistan,7.49
Panama,5.15
Peru,8.14
Philippines,3.53
"Papua New Guinea",6.08
Poland,5.64
"Korea, Dem. People's Rep.",20.46
Portugal,7.02
Paraguay,5.55
Qatar,8.23
Romania,6.24
"Russian Federation",11.61
Rwanda,40.97
"Saudi Arabia",6.67
Sudan,12.96
Senegal,20.34
Singapore,7.24
"Solomon Islands",4.7
"Sierra Leone",33.75
"El Salvador",3.86
Somalia,12.67
Serbia,6.08
"South Sudan",21.47
"Sao Tome and Principe",11.14
Suriname,10.28
"Slovak Republic",6.32
Slovenia,8.11
Sweden,4.35
Eswatini,28.13
Seychelles,1.74
"Syrian Arab Republic",1.5
Chad,12.26
Togo,11.25
Thailand,9.21
Tajikistan,12.02
Turkmenistan,6.11
Timor-Leste,16.56
Tonga,2.74
"Trinidad and Tobago",7.42
Tunisia,3.13
Turkiye,8.31
Tuvalu,1.23
Tanzania,27.93
Uganda,30.3
Ukraine,6.13
Uruguay,3.31
"United States",2.81
Uzbekistan,8.55
"St. Vincent and the Grenadines",2.04
"Venezuela, RB",-0.44
Vietnam,2.25
Vanuatu,1.32
Samoa,1.99
Kosovo,6.68
"Yemen, Rep.",4
"South Africa",13.18
Zambia,38.83
Zimbabwe,37.16
