Country,"Life Expectancy, 2000"
Afghanistan,55.3
Angola,46.02
Albania,75.4
"United Arab Emirates",74.38
Armenia,70.62
"Antigua and Barbuda",74.61
Australia,79.23
Austria,78.13
Azerbaijan,64.89
Burundi,47.51
Belgium,77.72
Benin,56.58
"Burkina Faso",50.85
Bangladesh,65.78
Bulgaria,71.66
Bahrain,75.5
"Bahamas, The",72.04
"Bosnia and Herzegovina",74.5
Belarus,68.91
Belize,68.56
Bolivia,62.35
Brazil,69.74
Barbados,74.09
"Brunei Darussalam",74.08
Bhutan,62.01
Botswana,51.01
"Central African Republic",45.41
Canada,79.17
Switzerland,79.68
Chile,76.87
China,71.88
"Cote d'Ivoire",50.84
Cameroon,52.93
"Congo, Dem. Rep.",51.78
"Congo, Rep.",53.68
Colombia,71.32
Comoros,58.76
"Cabo Verde",68.62
"Costa Rica",77.59
Cuba,76.18
Cyprus,76.57
Czechia,74.97
Germany,77.93
Djibouti,56.57
Dominica,72.69
Denmark,76.59
"Dominican Republic",69.42
Algeria,70.48
Ecuador,72.84
"Egypt, Arab Rep.",68.01
Eritrea,56.11
Spain,78.97
Estonia,70.42
Ethiopia,50.54
Finland,77.47
Fiji,66.31
France,79.06
"Micronesia, Fed. Sts.",69.77
Gabon,61.07
"United Kingdom",77.74
Georgia,69.58
Ghana,58.2
Guinea,52.48
"Gambia, The",56.94
Guinea-Bissau,50.12
"Equatorial Guinea",53.23
Greece,77.89
Grenada,72.78
Guatemala,67.45
Guyana,64.48
Honduras,68.66
Croatia,72.81
Haiti,58.36
Hungary,71.25
Indonesia,66.43
India,62.67
Ireland,76.54
"Iran, Islamic Rep.",69.69
Iraq,66.82
Iceland,79.65
Israel,78.95
Italy,79.78
Jamaica,70.94
Jordan,71.92
Japan,81.08
Kazakhstan,65.45
Kenya,54.41
"Kyrgyz Republic",68.56
Cambodia,58.62
Kiribati,64.41
"St. Kitts and Nevis",69.78
"Korea, Rep.",75.91
Kuwait,76.72
"Lao PDR",58.38
Lebanon,73.93
Liberia,51.36
Libya,70.68
"St. Lucia",70.77
Liechtenstein,76.83
"Sri Lanka",70.36
Lesotho,48.43
Lithuania,72.02
Luxembourg,77.87
Latvia,70.31
Morocco,66.79
Moldova,66.42
Madagascar,57.94
Maldives,70.88
Mexico,73.57
"Marshall Islands",63.28
"North Macedonia",72.95
Mali,50.54
Malta,78.35
Myanmar,60.16
Montenegro,73.82
Mongolia,62.88
Mozambique,49.49
Mauritania,61.03
Mauritius,71.66
Malawi,44.52
Malaysia,72.78
Namibia,51.99
Niger,49.32
Nigeria,47.19
Nicaragua,67.23
Netherlands,77.99
Norway,78.63
Nepal,62.61
Nauru,58.73
"New Zealand",78.64
Oman,73.47
Pakistan,62.1
Panama,74
Peru,70.42
Philippines,69.41
"Papua New Guinea",61.72
Poland,73.75
"Korea, Dem. People's Rep.",60.76
Portugal,76.31
Paraguay,69.75
Qatar,74.83
Romania,71.16
"Russian Federation",65.48
Rwanda,47.13
"Saudi Arabia",72.47
Sudan,58.32
Senegal,56.94
Singapore,77.95
"Solomon Islands",67.22
"Sierra Leone",45.05
"El Salvador",69.86
Somalia,50.66
Serbia,71.58
"South Sudan",46.03
"Sao Tome and Principe",61.66
Suriname,65.51
"Slovak Republic",73.05
Slovenia,75.41
Sweden,79.64
Eswatini,47.26
Seychelles,72.78
"Syrian Arab Republic",70.76
Chad,47.44
Togo,54.74
Thailand,72.32
Tajikistan,63.26
Turkmenistan,65.03
Timor-Leste,58.57
Tonga,68.98
"Trinidad and Tobago",69.1
Tunisia,73.69
Turkiye,71.86
Tuvalu,63.5
Tanzania,52.36
Uganda,48.34
Ukraine,67.68
Uruguay,75.03
"United States",76.64
Uzbekistan,65.72
"St. Vincent and the Grenadines",71.38
"Venezuela, RB",72.48
Vietnam,72.46
Vanuatu,68.97
Samoa,70.75
Kosovo,74.07
"Yemen, Rep.",62.59
"South Africa",58.47
Zambia,45.23
Zimbabwe,44.69
